colony_id,Sample,Diameter,weight1.g,weight2.g,Notes
1-POC-1,Coral,NA,20.647,21.867,
1-ACR-1,Coral,NA,3.664,4.185,
2-ACR-3,Coral,NA,5.103,5.933,
2-POR-1,Coral,NA,24.428,25.088,
2-POC-3,Coral,NA,44.498,47.052,
2-POR-3,Coral,NA,68.202,69.536,
2-POR-2,Coral,NA,47.039,48.06,
2-POC-2,Coral,NA,15.236,16.198,
2-POC-1,Coral,NA,13.875,14.696,
1-POC-3,Coral,NA,32.041,34.071,
1-POC-2,Coral,NA,16.284,17.268,
1-ACR-3,Coral,NA,11.726,12.553,
2-ACR-2,Coral,NA,8.688,9.675,
2-ACR-1,Coral,NA,9.163,9.801,
1-POR-1,Coral,NA,22.487,22.987,
1-ACR-2,Coral,NA,4.791,5.292,
1-POR-3,Coral,NA,67.05,68.437,
1-POR-2,Coral,NA,34.915,35.623,
Apul_227,Coral,NA,2.91,3.312,
Apul_218,Coral,NA,8.719,9.343,
Apul_243,Coral,NA,6.185,7.018,
Apul_234,Coral,NA,7.868,8.897,
Apul_237,Coral,NA,4.292,5.095,
Apul_267,Coral,NA,8.391,10.373,
Apul_244,Coral,NA,7.967,8.785,
Apul_246,Coral,NA,6.747,7.684,
3-POR-2,Coral,NA,73.555,75.66,
3-POC-3,Coral,NA,14.634,16.228,
3-POC-1,Coral,NA,12.041,13.176,
Apul_247,Coral,NA,7.896,9.203,
Apul_231,Coral,NA,8.1,8.975,
3-POR-1,Coral,NA,15.451,15.903,
3-POC-2,Coral,NA,7.63,8.169,
3-POR-3,Coral,NA,43.101,44.583,
Standard1,Standard,87.735493,34.785,36.83,
Standard2,Standard,83.74567033,30.55,32.436,
Standard3,Standard,75.76602499,25.416,27.118,
Standard4,Standard,59.80673431,19.133,20.321,
Standard5,Standard,51.19402759,13.178,14.307,
Standard6,Standard,46.19889528,11.654,12.806,
Standard7,Standard,31.21349832,9.121,9.793,
Standard8,Standard,34.0873226,8.65,9.594,
Standard9,Standard,20.26431493,5.674,6.151,
Standard10,Standard,13.35281109,3.6,3.86,
Standard11,Standard,8.985479616,1.927,2.088,
Standard12,Standard,6.503621419,1.377,1.482,
Standard13,Standard,4.021763223,1.244,1.302,
