colony_id,surface.area.cm2,timepoint
1-POC-1,11440.318219367606,timepoint0
1-ACR-1,2996.1644110300517,timepoint0
2-ACR-3,6728.9877683638115,timepoint0
2-POR-1,4675.33090510576,timepoint0
2-POC-3,27555.484428698426,timepoint0
2-POR-3,12817.476351199484,timepoint0
2-POR-2,9036.33165590669,timepoint0
2-POC-2,8323.591921011237,timepoint0
2-POC-1,6620.264757956029,timepoint0
1-POC-3,21225.389156067715,timepoint0
1-POC-2,8589.359279785833,timepoint0
1-ACR-3,6692.746764894551,timepoint0
2-ACR-2,8625.600283255071,timepoint0
2-ACR-1,4409.563546331186,timepoint0
1-POR-1,2742.47738674524,timepoint0
1-ACR-2,2754.5577212349867,timepoint0
1-POR-3,13457.734079156375,timepoint0
1-POR-2,5255.186960613895,timepoint0
Apul_227,1558.6046067494185,timepoint0
Apul_218,4240.438863474648,timepoint0
Apul_243,6765.228771833074,timepoint0
Apul_234,9132.974331824706,timepoint0
Apul_237,6402.818737140473,timepoint0
Apul_267,20645.53310055954,timepoint0
Apul_244,6584.023754486778,timepoint0
Apul_246,8021.583558767412,timepoint0
3-POR-2,22131.414242799074,timepoint0
3-POC-3,15958.363318535305,timepoint0
3-POC-1,10413.489787738548,timepoint0
Apul_247,12491.307319976102,timepoint0
Apul_231,7272.602820402708,timepoint0
3-POR-1,2162.621331237084,timepoint0
3-POC-2,3213.610431845623,timepoint0
3-POR-3,14605.36585568292,timepoint0
