Well,A562
A1,2.231
B1,0.265
C1,0.864
D1,1.262
E1,0.705
F1,1.358
G1,0.621
H1,0.292
A2,1.851
B2,0.245
C2,0.662
D2,1.149
E2,0.623
F2,1.241
G2,0.535
H2,0.28
A3,1.946
B3,0.115
C3,0.843
D3,1.142
E3,0.735
F3,1.204
G3,0.686
H3,0.421
A4,2.006
B4,0.121
C4,0.974
D4,1.186
E4,0.654
F4,1.437
G4,0.779
H4,0.522
A5,1.368
B5,0.083
C5,0.766
D5,0.816
E5,0.625
F5,1.147
G5,0.672
H5,0.625
A6,1.345
B6,0.084
C6,0.863
D6,0.811
E6,0.684
F6,1.16
G6,0.71
H6,0.632
A7,1.061
B7,1.03
C7,0.546
D7,1.25
E7,1.323
F7,0.95
G7,0.491
H7,0.875
A8,0.924
B8,1.04
C8,0.597
D8,1.287
E8,1.471
F8,0.839
G8,0.449
H8,0.875
A9,0.805
B9,1.073
C9,0.47
D9,0.95
E9,1.296
F9,0.985
G9,0.494
H9,0.084
A10,0.796
B10,0.946
C10,0.491
D10,0.999
E10,1.463
F10,1.018
G10,0.501
H10,0.088
A11,0.429
B11,1.281
C11,0.612
D11,0.978
E11,1.51
F11,0.515
G11,0.696
H11,0.045
A12,0.418
B12,1.264
C12,0.646
D12,1.025
E12,1.606
F12,0.444
G12,0.684
H12,0.044
