"PreSens Measurement Studio 2","1.1.2.0",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit"
"10/25/2019","20:38:12","3","default","122993301","OXY_CH3","0.000","min","191.345","µmol/L","Humid","21.399","deg","80074","µV","28.574","°C","1013.000","hPa","34.1","pmil","0","53.687","deg","23.870","°C","100.000","%a.s.","21.610","deg","23.548","°C","1019.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.50","0","64.00","349673.11","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-008","9/30/2017 19:07:05","0000-00","0","no battery","V"
"10/25/2019","20:38:13","3","default","122993301","OXY_CH3","0.018","min","191.230","µmol/L","Humid","21.404","deg","80044","µV","28.579","°C","1013.000","hPa","34.1","pmil","0","53.687","deg","23.870","°C","100.000","%a.s.","21.610","deg","23.548","°C","1019.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.50","0","64.00","349621.53","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-008","9/30/2017 19:07:05","0000-00","0","no battery","V"
"10/25/2019","20:38:14","3","default","122993301","OXY_CH3","0.036","min","191.217","µmol/L","Humid","21.405","deg","80023","µV","28.579","°C","1013.000","hPa","34.1","pmil","0","53.687","deg","23.870","°C","100.000","%a.s.","21.610","deg","23.548","°C","1019.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.50","0","64.00","349613.58","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-008","9/30/2017 19:07:05","0000-00","0","no battery","V"
"10/25/2019","20:38:15","3","default","122993301","OXY_CH3","0.052","min","191.236","µmol/L","Humid","21.404","deg","80001","µV","28.578","°C","1013.000","hPa","34.1","pmil","0","53.687","deg","23.870","°C","100.000","%a.s.","21.610","deg","23.548","°C","1019.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.50","0","64.00","349589.95","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-008","9/30/2017 19:07:05","0000-00","0","no battery","V"
"10/25/2019","20:38:16","3","default","122993301","OXY_CH3","0.068","min","191.261","µmol/L","Humid","21.405","deg","79990","µV","28.571","°C","1013.000","hPa","34.1","pmil","0","53.687","deg","23.870","°C","100.000","%a.s.","21.610","deg","23.548","°C","1019.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.50","0","64.00","349564.09","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-008","9/30/2017 19:07:05","0000-00","0","no battery","V"
"10/25/2019","20:38:17","3","default","122993301","OXY_CH3","0.086","min","191.308","µmol/L","Humid","21.403","deg","79985","µV","28.569","°C","1013.000","hPa","34.1","pmil","0","53.687","deg","23.870","°C","100.000","%a.s.","21.610","deg","23.548","°C","1019.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.50","0","64.00","349563.00","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-008","9/30/2017 19:07:05","0000-00","0","no battery","V"
"10/25/2019","20:38:18","3","default","122993301","OXY_CH3","0.102","min","191.239","µmol/L","Humid","21.407","deg","79972","µV","28.569","°C","1013.000","hPa","34.1","pmil","0","53.687","deg","23.870","°C","100.000","%a.s.","21.610","deg","23.548","°C","1019.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.50","0","64.00","349546.50","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-008","9/30/2017 19:07:05","0000-00","0","no battery","V"
"10/25/2019","20:38:19","3","default","122993301","OXY_CH3","0.119","min","191.188","µmol/L","Humid","21.411","deg","79962","µV","28.566","°C","1013.000","hPa","34.1","pmil","0","53.687","deg","23.870","°C","100.000","%a.s.","21.610","deg","23.548","°C","1019.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.50","0","64.00","349554.29","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-008","9/30/2017 19:07:05","0000-00","0","no battery","V"
"10/25/2019","20:38:20","3","default","122993301","OXY_CH3","0.135","min","191.183","µmol/L","Humid","21.411","deg","79953","µV","28.567","°C","1013.000","hPa","34.1","pmil","0","53.687","deg","23.870","°C","100.000","%a.s.","21.610","deg","23.548","°C","1019.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.50","0","64.00","349545.92","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-008","9/30/2017 19:07:05","0000-00","0","no battery","V"
"10/25/2019","20:38:21","3","default","122993301","OXY_CH3","0.152","min","191.289","µmol/L","Humid","21.408","deg","79951","µV","28.558","°C","1013.000","hPa","34.1","pmil","0","53.687","deg","23.870","°C","100.000","%a.s.","21.610","deg","23.548","°C","1019.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.50","0","64.00","349555.20","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-008","9/30/2017 19:07:05","0000-00","0","no battery","V"
"10/25/2019","20:38:22","3","default","122993301","OXY_CH3","0.168","min","191.287","µmol/L","Humid","21.409","deg","79945","µV","28.555","°C","1013.000","hPa","34.1","pmil","0","53.687","deg","23.870","°C","100.000","%a.s.","21.610","deg","23.548","°C","1019.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.50","0","64.00","349552.12","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-008","9/30/2017 19:07:05","0000-00","0","no battery","V"
"10/25/2019","20:38:23","3","default","122993301","OXY_CH3","0.185","min","191.194","µmol/L","Humid","21.413","deg","79940","µV","28.559","°C","1013.000","hPa","34.1","pmil","0","53.687","deg","23.870","°C","100.000","%a.s.","21.610","deg","23.548","°C","1019.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.50","0","64.00","349548.46","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-008","9/30/2017 19:07:05","0000-00","0","no battery","V"
